Index,Player,Season,Team,S/C,Pos,GP,TOI,TOI/GP
799,Derek Forbort,20-21,WPG,L,D,56,1161:34,20:44
695,Jason Dickinson,20-21,DAL,L,C,51,825:54,16:11
864,Derek Grant,20-21,ANA,L,C,46,669:58,14:33
290,Derek Ryan,20-21,CGY,R,C,43,511:18,11:53
40,Derick Brassard,20-21,ARI,L,C,53,784:10,14:47
566,Filip Zadina,20-21,DET,L,R,49,823:29,16:48
352,Devin Shore,20-21,EDM,L,C,38,415:02,10:55
473,Devon Toews,20-21,COL,L,D,53,1312:54,24:46
701,Max Domi,20-21,CBJ,L,C,54,821:59,15:13
717,Dillon Dube,20-21,CGY,L,C,51,695:31,13:38
1272,Mike Matheson,20-21,PIT,L,D,44,820:06,18:38
1169,Scott Laughton,20-21,PHI,L,C,53,817:17,15:25
18,Nick Bonino,20-21,MIN,L,C,55,817:04,14:51
916,Dougie Hamilton,20-21,CAR,R,D,55,1249:43,22:43
485,Jacob Trouba,20-21,NYR,R,D,38,816:40,21:29
930,Erik Haula,20-21,NSH,L,L,51,816:09,16:00
707,Drew Doughty,20-21,LAK,R,D,56,1477:20,26:22
1018,Ryan Johansen,20-21,NSH,R,C,48,813:17,16:56
1070,Duncan Keith,20-21,CHI,L,D,54,1264:07,23:24
501,Frank Vatrano,20-21,FLA,L,R,56,812:55,14:30
275,Jack Roslovic,20-21,CBJ,R,C,48,811:19,16:54
641,Dylan Cozens,20-21,BUF,R,C,41,588:36,14:21
1409,Mason Appleton,20-21,WPG,R,C,56,807:05,14:24
824,Dylan Gambrell,20-21,SJS,R,C,49,785:24,16:01
887,Erik Gudbranson,20-21,"OTT,NSH",R,D,45,805:53,17:54
709,Nic Dowd,20-21,WSH,R,C,56,804:44,14:22
